pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,Distance_Km
2015-01-27 13:08:24 UTC,-73.97332001,40.76380539,-73.98143005,40.74383545,1,9.496755263452469,2.323259482448895
2015-01-27 13:08:24 UTC,-73.98686218,40.71938324,-73.99888611,40.73920059,1,9.692125409363884,2.425352901548718
2011-10-08 11:53:44 UTC,-73.982524,40.751259999999995,-73.97965400000001,40.746139,1,4.965270362422773,0.6186278709678759
2012-12-01 21:12:12 UTC,-73.98116,40.767807,-73.990448,40.751635,1,7.504087914485041,1.9610325158768023
2012-12-01 21:12:12 UTC,-73.96604599999999,40.789775,-73.98856500000001,40.744427,1,14.060736023304923,5.387301253820666
2012-12-01 21:12:12 UTC,-73.960983,40.765547,-73.979177,40.740053,1,9.918177263933792,3.22254887779549
2011-10-06 12:10:20 UTC,-73.949013,40.773204,-73.959622,40.770893,1,5.8373247119648095,0.929601309282431
2011-10-06 12:10:20 UTC,-73.777282,40.646636,-73.98508299999999,40.759368,1,45.27842186696994,21.540101663971065
2011-10-06 12:10:20 UTC,-74.014099,40.709638,-73.995106,40.741365,1,11.471773272258687,3.8739616954557885
2014-02-18 15:22:20 UTC,-73.96958199999999,40.765519,-73.98068599999999,40.770725,1,7.067142444344631,1.099793909874918
2014-02-18 15:22:20 UTC,-73.989374,40.741973,-73.9993,40.722534,1,9.39774899842012,2.317685162256492
2014-02-18 15:22:20 UTC,-74.001614,40.740893,-73.956387,40.767437,1,14.184709429682224,4.819178700295348
2010-03-29 20:20:32 UTC,-73.991198,40.739937,-73.997166,40.735269,1,4.01556693186643,0.7226697051118751
2010-03-29 20:20:32 UTC,-73.982034,40.762723,-74.001867,40.761545,1,5.838947988723753,1.675503135971983
2011-10-06 03:59:12 UTC,-73.992455,40.728701,-73.983397,40.750149,1,8.426789386683367,2.5040323426212816
2011-10-06 03:59:12 UTC,-73.983583,40.746992999999996,-73.951178,40.785903000000005,1,13.423961908274192,5.115375166679051
2012-07-15 16:45:04 UTC,-74.00674599999999,40.731721,-74.010204,40.732318,1,4.1424399735112605,0.2988380401271887
2012-07-15 16:45:04 UTC,-73.976446,40.785598,-73.95222,40.772121000000006,1,8.414278661346527,2.531147462068013
2012-07-15 16:45:04 UTC,-73.973548,40.763349,-73.972096,40.756417,1,5.06406174626766,0.7804444670385154
2012-07-15 16:45:04 UTC,-73.97091800000001,40.756025,-73.975954,40.755563,1,4.388235522741407,0.4272819633446227
2014-10-29 02:09:56 UTC,-73.926071,40.705866,-73.94174100000001,40.714789,1,8.129623050347863,1.651945503442093
2014-06-14 13:39:00 UTC,-73.970555,40.764702,-73.94913199999999,40.7718,1,8.574151058597183,1.9692105476524073
2014-06-14 13:39:00 UTC,-73.989102,40.73636,-73.992767,40.747766999999996,1,7.303934968263228,1.3054412544841278
2014-06-14 13:39:00 UTC,-74.003525,40.74848,-73.99152,40.76296,1,8.444184136153439,1.9012945033649662
2014-06-14 13:39:00 UTC,-73.990352,40.759992,-74.015665,40.711682,1,15.86609857398118,5.779720338025231
2014-06-14 13:39:00 UTC,-73.989482,40.75745,-74.00085,40.762705,1,6.952294527146165,1.1216865935049165
2014-06-14 13:39:00 UTC,-73.870785,40.773722,-73.741922,40.689945,1,32.183369011636046,14.30653963063099
2014-06-14 13:39:00 UTC,-73.99268199999999,40.733877,-73.938852,40.80822,1,22.847347285920943,9.427870096337532
